City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
6,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Rikitea,PF,70.5,broken clouds,-23.1203,-134.9692,People ThankYou
10,Roald,NO,72.0,overcast clouds,62.5833,6.1333,Flem Cabins
12,Lompoc,US,82.02,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
16,Hithadhoo,MV,80.92,broken clouds,-0.6,73.0833,Scoop Guest House
17,Saint-Francois,FR,71.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
25,Trairi,BR,82.81,few clouds,-3.2778,-39.2689,janelas do mar
30,Guerrero Negro,MX,77.43,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
31,Domoni,KM,75.02,overcast clouds,-12.2569,44.5319,Al Djadid
33,Mana,GF,80.26,overcast clouds,5.6592,-53.7767,LE SAMANA
39,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
40,West Wendover,US,87.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
43,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
46,Hurghada,EG,89.64,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
47,Butaritari,KI,81.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
51,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
52,Atuona,PF,78.06,broken clouds,-9.8,-139.0333,Villa Enata
54,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
56,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
59,Fiumicino,IT,87.35,light rain,41.7675,12.2291,Al Porticciolo Hotel
61,Tura,IN,75.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
62,Dingle,PH,77.05,few clouds,10.9995,122.6711,SEGAYA PROPERTY
65,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
66,Camacha,PT,72.36,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
68,Mayumba,GA,71.37,broken clouds,-3.432,10.6554,LIKWALE LODGE
69,Iralaya,HN,87.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
71,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
80,Guarapari,BR,77.92,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
82,Jamestown,US,85.08,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Bhubaneswar,IN,86.09,haze,20.2333,85.8333,Hotel Pushpak
85,Souillac,MU,70.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
86,Fare,PF,77.59,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
91,Harper,LR,76.46,scattered clouds,4.375,-7.7169,Screensaver
92,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
94,Barcelos,PT,75.29,scattered clouds,41.5388,-8.6151,Hotel Do Terço
95,Ciro Marina,IT,84.07,clear sky,39.3732,17.126,Hotel Miramare
97,Pingxiang,CN,78.46,overcast clouds,27.6167,113.85,Haiyuntian Hotel
98,Wanlaweyn,SO,74.34,clear sky,2.6185,44.8938,GAASHAAN HOME
102,Cidreira,BR,71.89,clear sky,-30.1811,-50.2056,Hotel Castelo
103,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
104,Broome,US,86.63,few clouds,42.2506,-75.833,Chenango Valley State Park
110,Prudyanka,UA,73.65,clear sky,50.2361,36.1683,Bezrukivsʹkykh Sady
111,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
112,Umm Lajj,SA,89.17,clear sky,25.0213,37.2685,Moon light Furnished Units
113,Kahului,US,84.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
114,Klyuchi,RU,72.9,broken clouds,52.2667,79.1667,Vesolaya Mayovka
115,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
118,Bethel,US,81.01,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
120,Palmer,US,73.99,overcast clouds,42.1584,-72.3287,Wedgewood Motel
121,Atmakur,IN,78.17,broken clouds,15.8833,78.5833,Mee seva atk
122,Namatanai,PG,78.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
124,Itarema,BR,83.93,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
126,Foshan,CN,86.95,heavy intensity rain,23.0268,113.1315,"Marco Polo Lingnan Tiandi, Foshan"
