City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chokurdakh,RU,70.6333,147.9167,38.5,73,1,10.0,clear sky
1,Georgetown,MY,5.4112,100.3354,83.89,86,20,0.0,few clouds
2,Kaitangata,NZ,-46.2817,169.8464,49.93,59,100,3.83,moderate rain
3,Tasiilaq,GL,65.6145,-37.6368,39.6,86,55,5.64,broken clouds
4,Kodiak,US,57.79,-152.4072,53.11,82,90,5.75,haze
5,Hermanus,ZA,-34.4187,19.2345,61.9,54,100,9.86,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,37,8.99,scattered clouds
7,Konstantinovka,RU,49.6167,127.9833,67.46,98,100,5.73,light rain
8,Rikitea,PF,-23.1203,-134.9692,70.5,67,76,6.44,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,61.18,45,66,11.88,broken clouds
10,Roald,NO,62.5833,6.1333,72.0,82,96,10.36,overcast clouds
11,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,100,4.61,overcast clouds
12,Lompoc,US,34.6391,-120.4579,82.02,72,40,3.0,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,19.57,few clouds
14,Ushuaia,AR,-54.8,-68.3,33.46,100,75,20.71,light snow
15,Saint-Philippe,RE,-21.3585,55.7679,69.35,77,29,11.59,scattered clouds
16,Hithadhoo,MV,-0.6,73.0833,80.92,75,78,4.5,broken clouds
17,Saint-Francois,FR,46.4154,3.9054,71.04,65,0,4.61,clear sky
18,Lichinga,MZ,-13.3128,35.2406,53.29,72,100,7.34,overcast clouds
19,Ozinki,RU,51.1786,49.6769,64.6,40,15,6.96,few clouds
20,Sambava,MG,-14.2667,50.1667,67.26,82,97,10.98,overcast clouds
21,Etchoropo,MX,26.7667,-109.6667,91.42,50,0,10.69,clear sky
22,Cherskiy,RU,68.75,161.3,43.47,69,46,7.9,scattered clouds
23,Quelimane,MZ,-17.8786,36.8883,66.15,77,20,8.01,light rain
24,Kamenka,RU,51.3223,42.7678,62.87,55,15,6.53,few clouds
25,Trairi,BR,-3.2778,-39.2689,82.81,60,14,14.18,few clouds
26,Viedma,AR,-40.8135,-62.9967,55.08,35,0,16.73,clear sky
27,Upernavik,GL,72.7868,-56.1549,41.13,81,16,13.22,few clouds
28,Saldanha,ZA,-33.0117,17.9442,59.05,51,100,11.05,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,62.11,54,0,1.14,clear sky
30,Guerrero Negro,MX,27.9769,-114.0611,77.43,58,92,10.29,overcast clouds
31,Domoni,KM,-12.2569,44.5319,75.02,67,100,11.3,overcast clouds
32,Okhotsk,RU,59.3833,143.3,55.99,98,100,3.58,heavy intensity rain
33,Mana,GF,5.6592,-53.7767,80.26,75,97,4.88,overcast clouds
34,Barrow,US,71.2906,-156.7887,42.82,91,90,13.8,overcast clouds
35,Albany,US,42.6001,-73.9662,84.15,74,66,3.15,broken clouds
36,Bilibino,RU,68.0546,166.4372,46.2,72,49,4.21,scattered clouds
37,Antofagasta,CL,-23.65,-70.4,60.08,76,59,9.84,broken clouds
38,Yellowknife,CA,62.456,-114.3525,65.32,51,20,8.05,few clouds
39,Acapulco,MX,16.8634,-99.8901,87.62,74,40,8.05,scattered clouds
40,West Wendover,US,40.7391,-114.0733,87.01,14,1,8.05,clear sky
41,New Norfolk,AU,-42.7826,147.0587,44.1,69,63,3.0,broken clouds
42,Tanout,NE,14.9709,8.8879,92.55,40,89,14.97,overcast clouds
43,Kapaa,US,22.0752,-159.319,80.92,82,75,5.99,light rain
44,Esperance,AU,-33.8667,121.9,51.64,85,1,17.81,clear sky
45,Sorland,NO,67.667,12.6934,53.46,84,100,5.97,overcast clouds
46,Hurghada,EG,27.2574,33.8129,89.64,37,0,0.0,clear sky
47,Butaritari,KI,3.0707,172.7902,81.48,77,86,10.69,moderate rain
48,Lebu,CL,-37.6167,-73.65,52.77,86,36,3.49,scattered clouds
49,Boguchany,RU,58.3814,97.4531,65.19,68,100,2.33,overcast clouds
50,Castro,BR,-24.7911,-50.0119,69.26,52,4,5.75,clear sky
51,Bambous Virieux,MU,-20.3428,57.7575,70.21,64,20,12.66,few clouds
52,Atuona,PF,-9.8,-139.0333,78.06,68,81,23.85,broken clouds
53,Mataura,NZ,-46.1927,168.8643,47.48,92,100,3.22,moderate rain
54,Cayenne,GF,4.9333,-52.3333,82.09,82,75,1.01,light rain
55,Qaanaaq,GL,77.484,-69.3632,40.48,70,89,5.79,overcast clouds
56,Avarua,CK,-21.2078,-159.775,71.65,100,75,3.44,light rain
57,Karratha,AU,-20.7377,116.8463,69.4,47,10,6.33,clear sky
58,Sakakah,SA,29.9697,40.2064,105.37,19,0,9.26,clear sky
59,Fiumicino,IT,41.7675,12.2291,87.35,35,0,17.27,light rain
60,Madimba,TZ,-10.4,40.3333,72.75,72,0,13.49,clear sky
61,Tura,IN,25.5198,90.2201,75.74,96,100,5.79,overcast clouds
62,Dingle,PH,10.9995,122.6711,77.05,90,21,8.88,few clouds
63,Saskylakh,RU,71.9167,114.0833,53.91,74,71,11.21,broken clouds
64,Busselton,AU,-33.65,115.3333,58.08,66,5,20.22,clear sky
65,Miri,MY,4.4148,114.0089,84.34,84,40,3.44,scattered clouds
66,Camacha,PT,33.0833,-16.3333,72.36,83,40,13.8,scattered clouds
67,Brae,GB,60.3964,-1.353,58.91,77,7,2.06,clear sky
68,Mayumba,GA,-3.432,10.6554,71.37,90,73,5.59,broken clouds
69,Iralaya,HN,15.0,-83.2333,87.89,67,100,8.77,overcast clouds
70,Yar-Sale,RU,66.8333,70.8333,48.07,80,78,16.13,broken clouds
71,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,64,0,15.68,clear sky
72,Hobart,AU,-42.8794,147.3294,44.46,72,40,4.0,scattered clouds
73,Vaini,TO,-21.2,-175.2,66.36,100,20,0.0,fog
74,Mezen,RU,65.8522,44.24,46.9,80,100,7.27,overcast clouds
75,East London,ZA,-33.0153,27.9116,56.34,76,0,5.75,clear sky
76,Port Macquarie,AU,-31.4333,152.9167,53.56,59,0,7.38,clear sky
